
pl_name,pl_orbsmax,pl_rade,st_rad,sy_dist
CoRoT-29 b,0.038600,10.088,0.90,806.5070000
CoRoT-3 b,0.057830,11.320,1.56,768.7710000
CoRoT-30 b,0.084400,11.310,0.91,1032.2300000
CoRoT-31 b,0.058600,16.365,2.15,2005.7600000
CoRoT-35 b,0.042900,18.831,1.65,1123.2100000
CoRoT-36 b,0.066000,15.805,1.52,925.9580000
CoRoT-4 b,0.090000,13.340,1.17,726.4120000
CoRoT-5 b,0.049470,15.558,1.19,882.4720000
CoRoT-6 b,0.085500,13.068,1.03,645.2940000
CoRoT-7 b,0.017016,1.681,0.83,159.9060000
CoRoT-7 c,0.046000,2.830,0.86,159.9060000
CoRoT-7 d,,4.310,0.84,159.9060000
CoRoT-8 b,0.063000,6.390,0.77,322.0370000
CoRoT-9 b,0.402100,11.949,0.96,412.9800000
CoRoTID 223977153 b,0.071000,6.389,0.79,576.6830000
DE CVn b,5.750000,12.400,0.42,30.5225000
DENIS-P J082303.1-491201 b,0.360000,11.900,,20.7700000
DH Tau b,330.000000,30.264,0.27,134.8460000
DMPP-1 b,0.146200,5.290,1.26,62.5388000
DMPP-1 c,0.073300,3.060,1.26,62.5388000
DMPP-1 d,0.042200,1.650,1.26,62.5388000
DMPP-1 e,0.065100,1.860,1.26,62.5388000
DMPP-2 b,0.066400,14.300,1.78,137.9400000
DMPP-3 A b,0.066200,1.410,0.91,45.2300000
DMPP-4 b,0.048530,3.530,1.38,25.3284000
DP Leo b,8.190000,12.700,0.01,305.6840000
DS Tuc A b,,5.700,0.96,44.0622000
EPIC 201170410.02,0.034900,1.047,0.28,134.0000000
EPIC 201238110 b,,1.870,0.37,159.2590000
EPIC 201427007 b,,1.500,0.94,706.3910000
EPIC 201497682 b,,0.692,0.55,253.0260000
EPIC 201595106 b,,1.300,0.93,232.1000000
EPIC 201615463 c,,1.220,1.60,476.8820000
EPIC 201754305 d,,1.030,0.54,334.9670000
EPIC 201757695.02,0.029600,0.908,0.66,577.6000000
EPIC 201833600 c,,1.000,0.63,257.4430000
EPIC 201841433 b,0.035000,1.040,0.63,436.4880000
EPIC 205950854 c,,1.310,0.83,243.9350000
EPIC 206024342 b,,1.700,0.82,369.8880000
EPIC 206024342 c,,1.400,1.10,369.8880000
EPIC 206024342 d,,2.600,1.10,369.8880000
EPIC 206032309 b,,1.010,0.37,161.3650000
EPIC 206042996 b,,1.700,0.50,451.7690000
EPIC 206042996 c,,1.200,0.50,451.7690000
EPIC 206215704 b,,1.000,0.25,109.8880000
EPIC 206317286 b,,0.960,0.67,314.3500000
EPIC 206317286 c,,2.094,0.76,314.3500000
EPIC 211822797 b,0.119500,1.920,0.58,186.1970000
EPIC 211945201 b,0.149300,5.760,1.39,181.6900000
EPIC 212297394 b,,1.480,0.80,418.3950000
EPIC 212297394 c,,2.270,0.80,418.3950000
EPIC 212424622 b,,2.170,1.22,611.8040000
EPIC 212499991 b,,1.600,0.76,283.2900000
EPIC 212587672 b,,1.260,0.98,320.0700000
EPIC 212587672 c,,2.320,0.98,320.0700000
EPIC 212624936 b,,1.200,0.93,561.9290000
EPIC 212624936 c,,2.300,0.93,561.9290000
EPIC 212737443 b,0.098000,2.586,0.67,336.2500000
EPIC 212737443 c,0.280000,2.690,0.67,336.2500000
EPIC 220492298 b,,0.990,0.89,624.5120000
EPIC 220554210 c,,1.600,1.00,496.2890000
EPIC 220674823 b,0.013260,1.725,0.99,244.5900000
EPIC 220674823 c,0.108300,2.836,0.99,244.5900000
EPIC 228836835 b,,1.100,0.32,150.1240000
EPIC 229004835 b,0.123700,2.332,1.00,121.9710000
EPIC 246851721 b,0.072290,11.781,1.59,372.6320000
EPIC 248847494 b,4.500000,12.442,2.70,551.8860000
EPIC 249893012 b,0.047000,1.950,1.71,321.2960000
EPIC 249893012 c,0.130000,3.670,1.71,321.2960000
EPIC 249893012 d,0.220000,3.940,1.71,321.2960000
FU Tau b,800.000000,12.200,,133.4950466
G 196-3 b,350.000000,12.000,0.52,21.7912000
G 264-012 b,0.022790,1.390,0.30,16.0090000
G 264-012 c,0.052500,1.760,0.30,16.0090000
G 9-40 b,0.038500,2.025,0.31,27.9276000
GJ 1002 b,0.045700,1.030,0.14,4.8486700
GJ 1002 c,0.073800,1.100,0.14,4.8486700
GJ 1061 b,0.021000,1.100,0.16,3.6727800
GJ 1061 c,0.035000,1.180,0.16,3.6727800
GJ 1061 d,0.054000,1.160,0.16,3.6727800
GJ 1132 b,0.015700,1.192,0.22,12.6130000
GJ 1132 c,0.047600,1.430,0.21,12.6130000
GJ 1148 b,0.166000,11.900,0.36,11.0143000
GJ 1148 c,0.912000,9.710,0.36,11.0143000
GJ 1151 c,0.571400,3.250,0.18,8.0362500
GJ 1214 b,0.015050,2.733,0.22,14.6427000
GJ 1252 b,0.009150,1.193,0.39,20.3730000
GJ 1265 b,0.026000,2.630,0.19,10.2525000
GJ 143 b,0.191500,2.610,0.70,16.3200000
GJ 15 A b,0.072000,1.550,0.38,3.5622800
GJ 15 A c,5.400000,6.670,0.38,3.5622800
GJ 160.2 b,0.053000,3.170,0.66,25.8557000
GJ 163 b,0.060700,3.250,0.41,15.1285000
GJ 163 c,0.125400,2.500,0.41,15.1285000
GJ 163 d,1.030400,5.920,0.41,15.1285000
GJ 179 b,2.410000,13.800,0.38,12.3560000
GJ 180 b,0.092000,2.430,0.41,11.9407000
GJ 180 c,0.129000,2.410,0.41,11.9407000
